gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.6935,1,129,345,139,1,207,1,186,76,104,1,278,1,286,1,151
MSTRG.27831,1,57,1,17,565,58,1,67,1,76,129,136,1,35,1,23
MSTRG.17507,1,152,1,81,1140,146,1,148,1,97,94,223,1,282,1,141
MSTRG.2763,943,798,59,913,1271,1326,1,768,230,1700,1009,4498,6231,6219,1282,3040
MSTRG.19428,1,19,135,8,1,16,74,59,1,27,1,54,1,17,50,15
MSTRG.12007,1,237,205,196,1,143,1,143,31,268,1,291,1,343,64,305
MSTRG.27690,1,370,626,434,1,372,1,445,222,322,1,451,1,296,1,256
MSTRG.15580,1,80,1957,46,1,94,1,107,1,84,1,299,1,178,126,114
MSTRG.41793,1,137,397,89,1,103,1,146,58,64,1,247,1,104,1,101
MSTRG.47757,1,140,1,47,992,70,1,124,1,58,111,220,1,192,1,123
MSTRG.11411,1,116,1,188,835,113,1,196,1,139,1,565,522,54,1,114
MSTRG.18679,1,188,1,52,1,156,1,14,687,181,1,260,1,343,127,159
MSTRG.15974,1,186,1,98,1,123,1,62,795,84,1,666,1,313,185,188
MSTRG.47566,1,81,1,14,792,39,1,75,1,45,55,176,1,34,1,103
MSTRG.28300,1,99,1,63,1,151,96,56,264,107,1,434,1,384,1,223
MSTRG.4873,1,4,1,5,1,5,1,1,1,7,263,3,347,1,1,6
MSTRG.18964,1,264,1,269,317,172,1,323,1,218,44,409,67,202,9,277
MSTRG.49665,5,373,1,151,3,131,1,116,1,208,175,766,733,340,1,331
MSTRG.36575,1,190,1,98,1389,163,1,117,1,183,83,432,1,430,1,312
MSTRG.12478,1,491,1,357,1023,232,1,352,35,244,276,430,703,244,1,276
MSTRG.20073,1,78,321,87,1,111,1,111,104,108,6,169,1,247,64,134
MSTRG.12766,1,93,1,1,1,168,297,115,1,78,1,294,1,187,52,145
MSTRG.35582,1,104,165,302,1,146,1,132,223,60,1,212,1,348,1,131
MSTRG.34524,696,111,1,194,1,111,1,132,1,109,160,204,1,148,1,86
MSTRG.5722,490,244,1,366,1,236,1,284,1,204,111,460,1,237,1,283
MSTRG.30151,1,181,668,162,1,308,219,125,172,384,360,607,252,909,150,531
MSTRG.10583,1,331,1,227,1,366,1,159,237,333,1,1016,1,1077,859,676
MSTRG.13213,1,25,9,11,1,17,1,14,333,45,1,64,1,54,15,42
MSTRG.25261,1,197,293,60,1,129,1,73,1,65,1,251,1,218,21,79
MSTRG.1597,1,23,600,1,1,5,1,8,1,32,1,76,1,56,22,24
MSTRG.16039,2,262,485,240,1,231,1,409,62,159,1,310,1,403,15,236
MSTRG.24555,1020,493,11,239,1067,625,1,342,2064,797,1686,2523,3077,2588,1337,1619
MSTRG.16731,534,44,1,71,1,25,1,101,1,57,146,302,1,146,1,62
MSTRG.11726,13,440,23,414,2,191,34,250,72,132,1,347,1,233,169,117
MSTRG.46875,1,40,318,86,5,85,4,77,198,39,5,137,1,125,28,98
MSTRG.15316,1,195,353,18,1,69,1,109,1,56,1,200,1,62,27,25
MSTRG.17891,1,89,1,1,1,56,1,1,1015,22,1,71,1,117,1,128
MSTRG.4074,1,129,1,116,505,276,1,144,1,168,1,388,1131,351,1,198
MSTRG.23023,1,205,1059,122,1,176,1,142,25,77,4,119,1,86,55,109
MSTRG.50151,133,122,1,130,1,111,1,159,1,102,256,188,1,79,1,98
MSTRG.9009,1,241,276,136,1,152,1,85,1,55,1,187,1,329,48,90
MSTRG.50164,1,1,1,1,256,1,1,323,1,1,1,1,378,1,1,1
MSTRG.37537,1167,161,1,165,1,219,1,216,1,142,697,541,1,461,1,182
MSTRG.45136,1,351,535,508,1,267,1,256,120,169,1,362,1,282,1,130
MSTRG.45611,1,235,1,2560,836,373,1,446,1,227,45,636,602,1780,49,529
MSTRG.44871,1,57,1,89,1108,51,1,117,1,14,20,21,5,17,10,34
MSTRG.49966,1,45,1,1,1,1,1,1,230,45,1,75,1,42,43,1
MSTRG.32434,1,198,1,272,789,112,1,264,1,153,1,371,256,307,1,136
MSTRG.43768,1,43,1488,62,1,15,1,93,246,18,1,118,1,17,1,33
MSTRG.23627,2,160,31,236,1,143,5,185,94,182,1,289,1,129,60,131
MSTRG.6438,399,319,1,311,1877,348,1,225,410,442,35,875,1389,843,208,509
