gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
gene26234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene26233,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
gene26232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene26231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
gene26230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.34120,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.34121,1,2,1,1,1,5,1,1,1,2,83,16,1,16,1,4
MSTRG.34122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,1
MSTRG.6662,1,16,1,95,1,13,1,1,1,38,410,85,1,69,1,11
MSTRG.34124,1,8,2,77,1,34,1,13,1,8,1,34,1,12,35,6
MSTRG.6664,1,24,1,21,1,38,1,6,1,25,1,107,1,34,1,45
MSTRG.6667,1,77,1,23,1,17,1,1,1,9,1,27,1,119,1,60
MSTRG.34127,1,102,1,25,1,55,1,78,1,22,1,84,1,54,1,42
MSTRG.21377,5,1981,424,1471,227,1029,1,2751,1479,847,833,895,1,553,128,351
MSTRG.29399,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.29398,1,3,1,5,4,3,1,1,1,7,1,5,27,3,5,5
MSTRG.21376,100,535,938,194,1429,1436,112,542,460,927,1094,2339,1004,2068,912,1467
MSTRG.29395,1,1,1,1,1,1,1,64,1,1,1,1,1,1,1,2
MSTRG.29394,1,1,1,1,1,2,1,10,1,1,1,1,1,3,1,5
MSTRG.29397,1,1,1,1,1,9,1,14,1,1,1,1,1,1,1,1
gene20966,1,6,1,1,1,46,1,1,1,9,1,11,1,12,1,36
MSTRG.29391,1,1,1,5,1,1,1,12,1,1,1,1,1,4,1,1
MSTRG.29390,1,1,1,1,1,4,1,7,1,1,1,18,1,23,1,3
MSTRG.22662,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4
MSTRG.29392,1,1,1,1,1,21,1,2,1,1,1,1,1,1,1,4
gene5308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.26718,1,8,1,19,1,2,1,32,1,1,1,2,1,1,1,1
MSTRG.26719,5,6,6,3,3,3,8,11,4,4,3,6,3,7,2,4
MSTRG.26714,1,17,1,1,1,1,1,32,1,1,1,1,1,1,1,1
MSTRG.26715,1,288,24,147,871,399,2,305,9,418,143,471,59,579,7,197
MSTRG.26716,1,1,1,1,1,1,1,12,1,1,1,1,1,5,1,5
MSTRG.26717,1,6,1,7,1,5,1,23,1,4,1,7,1,19,1,5
MSTRG.26710,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1
